,PH,TTP,AUC,MTT,Max_Df,BAT,PH_Frame,AUC0.5,AUC1,AUC1.5,AUC2.0
ANY_391,10.304723561834123,2.6,56.624965634660185,6.1,1.2259587289012965,0.7000000000000001,8,25.666013697620095,49.470020303393795,56.55908391674699,56.55908391674699
ANY_324,9.484589762805587,6.6000000000000005,43.01457803888611,4.800000000000001,0.5122376763896805,0.2,17,8.609115243077573,28.812964933608477,42.92039678779931,42.92039678779931
ANY_186,14.535977620161775,2.4000000000000004,28.427093527891568,2.1,3.464385262680711,1.3,7,11.25152810821033,25.953370563700346,28.376383680502293,28.376383680502293
ANY_188,18.108861117641098,3.2,55.965253179822646,3.4000000000000004,2.0785001502731637,1.0,10,20.22270492163962,45.463837788586964,55.805699166962484,55.805699166962484
ANY_170,13.847364722324674,1.6,50.70274893805675,5.200000000000001,2.2610363393559116,0.0,5,21.212176862133777,53.68418013287307,50.70274893805675,50.70274893805675
ANY_304_View1,17.014194335404234,3.6,59.20793623700372,3.7000000000000006,1.5056231720772935,1.1,11,19.612482811746116,51.078891589198165,59.212694525352184,59.212694525352184
ANY_304_View2,12.417099069726852,3.6,48.85614597668868,4.300000000000001,1.1291779826727752,1.0,11,18.31169640571168,43.7271150597634,48.7568649354917,48.7568649354917
ANY_323,8.594057399733376,2.4000000000000004,15.207830630276424,1.9000000000000001,1.3616775396359833,1.1,7,4.71141157984128,12.921477203856767,15.195684198583436,15.195684198583436
ANY_388,0.49833580863972177,1.5,2.961131449138628,10.100000000000001,0.09905661287355577,0.8,5,1.599241395702424,2.8586531365324066,2.9583453841074796,2.9583453841074796
ANY_134,11.142275761038508,4.6000000000000005,-5.030020019796477,4.1000000000000005,1.0156707054863903,1.1,14,13.939028039043976,36.70964710862393,26.18132830490556,-5.29988686399651
ANY_151,8.899627620988902,6.0,47.01379291878214,5.6,0.8166015564193094,0.9,18,17.777308541629345,42.51611080183561,46.84975522844804,46.84975522844804
ANY_154,30.141709870585476,2.1,43.865905635439596,1.7000000000000002,4.9244227035076396,0.6000000000000001,6,2.0853161679478225,22.14018863001498,39.67991625549849,43.594749034765
ANY_381_View1,0.47408804134685206,6.300000000000001,1.8070087750340857,4.500000000000001,0.043997621881597275,1.3,19,0.6442221914281613,1.595107236973652,1.8031545776194402,1.8031545776194402
ANY_381_View2,0.8536463240119492,3.4000000000000004,3.5608679145806645,4.800000000000001,0.06426030524219865,0.6000000000000001,10,1.2016605213059957,3.042750837456564,3.537611838904431,3.537611838904431
ANY_316,18.85489512682307,5.800000000000001,68.0655723234865,4.000000000000001,1.26288752809295,1.1,16,21.492293086314397,55.388401367942826,67.8495132673086,67.8495132673086
ANY_108,9.77091805765567,6.300000000000001,41.09036164061941,5.0,0.8631195648358544,1.1,17,15.82430492527308,35.21303180130482,41.02144174820682,41.02144174820682
ANY_136,29.114167813712008,2.3000000000000003,75.19058850415657,2.3000000000000003,3.698645581349,1.1,7,18.196896503302057,49.47645010949798,63.80030349335755,74.35444829520033
ANY_340,1.4156307103885477,7.1000000000000005,5.733458413774045,6.4,0.33791393866900643,1.6,17,1.9062877211661768,5.236244291543425,5.749901359432038,5.749901359432038
ANY_384_View1,0.287379572868246,6.9,0.7670960896347552,2.9000000000000004,0.05284288148686386,6.0,20,0.3131663456665518,0.6991924551645544,0.7687708587198785,0.7687708587198785
ANY_384_View2,0.27599318420456564,2.9000000000000004,0.7506937199746258,3.1000000000000005,0.058285289927871825,1.9000000000000001,9,0.3152561780183148,0.6366531203816203,0.7605893022716055,0.7535465130434078
ANY_368,6.2262511637104225,1.7000000000000002,21.422520595798616,3.9,0.8208860470870734,0.7000000000000001,5,9.098551555976751,17.651610241891564,21.368689061323114,21.398168086807132
ANY_331_View1,21.96421440554704,2.3000000000000003,54.7453765968252,3.2,3.1780536060593017,1.0,7,25.241217480378793,49.781573194624976,54.89081432483248,54.89081432483248
ANY_331_View2,33.8629994265538,2.1,77.8920811398469,2.3,5.619957295415063,0.9,6,24.19754799345699,55.55996621833331,73.66528694525466,77.71520614570031
ANY_358,5.22164850232239,8.8,22.056881559139686,4.6000000000000005,0.2938927473838806,3.2,19,5.837066639311879,16.966149923502876,22.017192159030834,22.017192159030834
ANY_346,13.880889750458707,2.5,59.365431711055415,5.1000000000000005,2.140988829379748,1.4000000000000001,8,29.599470834767033,56.851892265826486,59.3742650218896,59.3742650218896
ANY_330,7.0511631844725216,7.800000000000001,41.18331665937431,7.500000000000002,0.5168466021595857,1.4000000000000001,18,13.694057927318536,36.78848494294065,41.17228977365609,41.17228977365609
ANY_383_View1,10.802217753927707,3.6,39.13701455806448,3.9000000000000004,1.463168634928844,1.4000000000000001,11,15.378375888315873,36.16160430014758,39.146824081446276,39.146824081446276
ANY_383_View2,13.398482051971811,3.6,49.68970745493063,4.0,1.4157789284843911,1.1,11,17.367880663356587,42.264032731963795,49.350350250323274,49.350350250323274
ANY_302_View1,27.248654359888434,1.9000000000000001,63.88747399807246,2.2,5.67186019112489,1.2000000000000002,6,22.544561836621718,46.40145976118605,59.93408913402594,63.735491327214845
ANY_302_View2,31.46294438639101,2.2,72.37850432946148,2.1000000000000005,5.875964196783923,1.0,7,21.88313486277042,50.160801214614935,64.06336173223738,72.62634609315465
ANY_321,9.743395502336817,3.0,31.95291775743775,3.5999999999999996,1.1784757577270408,1.1,9,7.691035535886485,20.015633864409555,28.54252721457412,31.944022249583668
